Disease,DiseaseDescription,Symptoms,HospitalName,HospitalAddress,ContactInfo
Cystic Fibrosis,A genetic disorder affecting the lungs and digestive system,"Chronic cough, difficulty breathing, lung infections",AIIMS Delhi,"Ansari Nagar, New Delhi",011-26588500
Cystic Fibrosis,A genetic disorder affecting the lungs and digestive system,"Chronic cough, difficulty breathing, lung infections",Apollo Hospitals,"Chennai, Tamil Nadu",044-28290200
Huntington's Disease,A progressive brain disorder that affects movement and thinking,"Involuntary movements, cognitive decline, speech difficulty",NIMHANS,"Bangalore, Karnataka",080-26995000
Huntington's Disease,A progressive brain disorder that affects movement and thinking,"Involuntary movements, cognitive decline, speech difficulty",Medanta Hospital,"Gurgaon, Haryana",0124-4141414
Gaucher Disease,A rare genetic disorder causing fat accumulation in organs,"Enlarged liver, fatigue, easy bruising",Fortis Hospital,"Kolkata, West Bengal",033-66276627
Gaucher Disease,A rare genetic disorder causing fat accumulation in organs,"Enlarged liver, fatigue, easy bruising",Christian Medical College,"Vellore, Tamil Nadu",0416-2281000
Marfan Syndrome,A connective tissue disorder affecting the heart and eyes,"Long limbs, flexible joints, heart murmurs",Kokilaben Hospital,"Mumbai, Maharashtra",022-30999999
Marfan Syndrome,A connective tissue disorder affecting the heart and eyes,"Long limbs, flexible joints, heart murmurs",AIIMS Bhubaneswar,"Bhubaneswar, Odisha",0674-2476789
Amyloidosis,A condition where abnormal protein builds up in organs,"Swelling, fatigue, irregular heartbeat",Sankara Nethralaya,"Chennai, Tamil Nadu",044-28271616
Amyloidosis,A condition where abnormal protein builds up in organs,"Swelling, fatigue, irregular heartbeat",Amrita Institute of Medical Sciences,"Kochi, Kerala",0484-2851234
Wilson's Disease,A rare disorder causing copper accumulation in the liver and brain,"Tremors, jaundice, speech difficulty",Manipal Hospital,"Bangalore, Karnataka",080-25024202
Wilson's Disease,A rare disorder causing copper accumulation in the liver and brain,"Tremors, jaundice, speech difficulty",Sri Ramachandra Medical College,"Chennai, Tamil Nadu",044-24768027
Ehlers-Danlos Syndrome,A group of disorders affecting connective tissues,"Joint hypermobility, stretchy skin, fragile blood vessels",Max Super Specialty Hospital,"Delhi",011-26515050
Ehlers-Danlos Syndrome,A group of disorders affecting connective tissues,"Joint hypermobility, stretchy skin, fragile blood vessels",SRM Medical College Hospital,"Kanchipuram, Tamil Nadu",044-27454646
Hemophilia,A genetic disorder impairing blood clotting,"Excessive bleeding, joint pain, easy bruising",Apollo Indraprastha,"Delhi",011-26925858
Hemophilia,A genetic disorder impairing blood clotting,"Excessive bleeding, joint pain, easy bruising",AIIMS Rishikesh,"Rishikesh, Uttarakhand",0135-2462952
Batten Disease,A rare fatal nervous system disorder,"Seizures, vision loss, dementia",CMC Ludhiana,"Ludhiana, Punjab",0161-2115370
Batten Disease,A rare fatal nervous system disorder,"Seizures, vision loss, dementia",Ruby Hall Clinic,"Pune, Maharashtra",020-66455100
Prader-Willi Syndrome,A genetic disorder affecting physical and mental development,"Obesity, intellectual disability, constant hunger",KIMS Hospital,"Hyderabad, Telangana",040-44885000
Prader-Willi Syndrome,A genetic disorder affecting physical and mental development,"Obesity, intellectual disability, constant hunger",Aster Medcity,"Kochi, Kerala",0484-6699999
